"","dur"
"227",188
"228",208
"229",178
"230",197
"231",200
"232",207
"233",218
"234",216
"235",194
"236",175
"237",192
"238",209
"239",180
"240",173
"241",208
"242",200
"243",207
"244",214
"245",235
"246",207
"247",191
"248",227
"249",222
"250",183
"251",204
"252",191
"253",181
"254",192
"255",196
"256",183
"257",182
"258",189
"259",191
"260",208
"261",189
"262",193
"263",190
"264",203
"265",203
"266",207
"267",199
"268",195
"269",190
"270",203
"271",195
"272",226
"273",192
"274",226
"275",206
"276",156
"277",207
"278",197
"279",188
"280",206
"281",198
"282",201
"283",209
"284",240
"285",210
"286",208
"287",204
"288",199
"289",189
"290",218
"291",218
"292",213
"293",215
"294",203
"295",201
"296",175
"297",199
"298",189
"299",197
"300",218
"301",197
"302",185
"303",203
"304",181
"305",205
"306",193
"307",191
"308",192
"309",216
"310",214
"311",195
"312",186
"313",192
"314",225
"315",186
"316",199
"317",216
"318",182
"319",190
"320",201
"321",210
"322",188
"323",211
"324",204
"325",202
"326",200
"327",184
"328",178
"329",174
"330",202
"331",199
"332",206
"333",198
"334",195
"335",220
"336",200
"337",235
"338",210
"339",211
"340",193
"341",207
"342",224
"343",221
"344",219
"345",189
"346",190
"347",197
"348",196
"349",210
"350",204
"351",210
"352",207
"353",208
"354",212
"355",207
"356",183
"357",202
"358",219
"359",198
"360",198
"361",229
"362",196
"363",200
"364",193
"365",231
"366",203
"367",200
"368",200
"369",193
"370",201
"371",185
"372",216
"373",192
"374",178
"375",184
"376",200
"377",221
"378",181
"379",186
"380",216
"381",197
"382",207
"383",198
"384",199
"385",200
"386",188
"387",205
"388",208
"389",200
"390",184
"391",208
"392",215
"393",180
"394",206
"395",200
"396",225
"397",213
"398",202
"399",201
"400",203
"401",193
"402",200
"403",202
"404",221
"405",183
"406",188
"407",194
"408",182
"409",205
"410",226
"411",206
"412",181
"413",193
"414",192
"415",194
"416",218
"417",202
"418",217
"419",224
"420",196
"421",174
"422",197
"423",211
"424",206
"425",179
"426",210
"427",218
"428",188
"429",175
"430",176
"431",201
"432",190
"433",197
"434",217
"435",191
"436",195
"437",207
"438",192
"439",189
"440",176
"441",160
"442",223
"443",194
"444",177
"445",185
"446",203
"447",212
"448",207
"449",185
"450",206
"451",210
"452",200
"453",209
"454",192
"455",211
"456",202
"457",201
"458",218
"459",198
"460",190
"461",184
"462",186
"463",212
"464",190
"465",187
"466",185
"467",208
"468",224
"469",206
"470",187
"471",206
"472",180
"473",214
"474",226
"475",188
"476",200
"477",216
"478",208
"479",183
"480",210
"481",194
"482",213
"483",190
"484",214
"485",214
"486",215
"487",198
"488",201
"489",177
"490",206
"491",210
"492",193
"493",194
"494",207
"495",205
"496",172
"497",198
"498",201
"499",206
"500",187
"501",192
"502",183
"503",200
"504",192
"505",192
"506",211
"507",193
"508",189
"509",210
"510",203
"511",206
"512",217
"513",202
"514",205
"515",210
"516",216
"517",211
"518",185
"519",224
"520",174
"521",198
"522",193
"523",184
"524",206
"525",209
"526",200
"527",185
"528",203
"529",202
"530",197
"531",199
"532",234
"533",234
"534",210
"535",244
"536",195
"537",202
"538",201
"539",184
"540",210
"541",211
"542",190
"543",213
"544",198
"545",214
"546",205
"547",217
"548",223
"549",199
"550",188
"551",198
"552",202
"553",191
"554",193
"555",209
"556",202
"557",199
"558",173
"559",205
"560",206
"561",187
"562",190
"563",222
"564",204
"565",210
"566",200
"567",195
"568",211
"569",201
"570",185
"571",202
"572",202
"573",182
"574",206
"575",197
"576",195
"577",186
"578",219
"579",196
"580",210
"581",227
"582",222
"583",199
"584",195
"585",205
"586",195
"587",199
"588",206
"589",224
"590",192
"591",184
"592",228
"593",162
"594",206
"595",196
"596",179
"597",187
"598",206
"599",205
"600",203
"601",210
"602",221
"603",183
"604",167
"605",198
"606",196
"607",185
"608",199
"609",216
"610",213
"611",188
"612",225
"613",198
"614",211
"615",222
"616",195
"617",221
"618",178
"619",185
"620",190
"621",212
"622",180
"623",192
"624",215
"625",201
"626",218
"627",198
"628",209
"629",204
"630",208
"631",227
"632",210
"633",198
"634",189
"635",198
"636",216
"637",202
"638",177
"639",206
"640",196
"641",202
"642",193
"643",193
"644",197
"645",171
"646",186
"647",182
"648",202
"649",206
"650",197
"651",197
"652",195
"653",213
"654",237
"655",197
"656",210
"657",185
"658",220
"659",214
"660",184
"661",188
"662",202
"663",193
"664",210
"665",207
"666",200
"667",228
"668",206
"669",240
"670",198
"671",212
"672",222
"673",191
"674",207
"675",224
"676",208
"677",205
"678",196
"679",208
"680",189
"681",201
"682",204
"683",194
"684",170
"685",206
"686",181
"687",212
"688",195
"689",203
"690",204
"691",204
"692",221
"693",204
"694",203
"695",203
"696",197
"697",202
"698",209
"699",206
"700",165
"701",194
"702",201
"703",194
"704",179
"705",199
"706",181
"707",209
"708",196
"709",202
"710",192
"711",183
"712",192
"713",185
"714",230
"715",212
"716",195
"717",207
"718",190
"719",190
"720",194
"721",190
"722",193
"723",187
"724",225
"725",191
"726",191
"727",204
"728",202
"729",207
"730",203
"731",182
"732",204
"733",193
"734",204
"735",194
"736",200
"737",195
"738",212
"739",185
"740",187
"741",200
"742",228
"743",195
"744",192
"745",185
"746",180
"747",202
"748",208
"749",198
"750",216
"751",220
"752",205
"753",211
"754",197
"755",219
"756",193
"757",201
"758",200
"759",187
"760",218
"761",203
"762",201
"763",194
"764",204
"765",189
"766",169
"767",205
"768",194
"769",192
"770",212
"771",194
"772",185
"773",196
"774",217
"775",191
"776",194
"777",162
"778",200
"779",180
"780",214
"781",200
"782",192
"783",224
"784",198
"785",199
"786",191
"787",204
"788",199
"789",187
"790",210
"791",208
"792",190
"793",210
"794",211
"795",212
"796",193
"797",197
"798",207
"799",206
"800",231
"801",192
"802",219
"803",203
"804",185
"805",193
"806",219
"807",180
"808",206
"809",210
"810",194
"811",202
"812",206
"813",173
"814",189
"815",183
"816",189
"817",193
"818",174
"819",229
"820",205
"821",209
"822",198
"823",205
"824",217
"825",225
"826",199
"827",209
"828",175
"829",180
"830",197
"831",198
"832",200
"833",202
"834",207
"835",214
"836",182
"837",170
"838",202
"839",203
"840",222
"841",202
"842",217
"843",191
"844",213
"845",204
"846",201
"847",196
"848",203
"849",198
"850",198
"851",196
"852",188
"853",207
"854",174
"855",217
"856",200
"857",209
"858",168
"859",211
"860",217
"861",179
"862",201
"863",188
"864",195
"865",212
"866",196
"867",208
"868",191
"869",199
"870",179
"871",170
"872",194
"873",191
"874",185
"875",185
"876",168
"877",217
"878",171
"879",201
"880",213
"881",184
"882",197
"883",207
"884",216
"885",205
"886",200
"887",207
"888",181
"889",209
"890",198
"891",212
"892",239
"893",192
"894",186
"895",201
"896",193
"897",188
"898",199
"899",184
"900",178
"901",179
"902",195
"903",196
"904",218
"905",208
"906",201
"907",202
"908",211
"909",182
"910",206
"911",216
"912",191
"913",225
"914",197
"915",217
"916",183
"917",200
"918",200
"919",161
"920",210
"921",182
"922",196
"923",178
"924",202
"925",210
"926",185
"927",214
"928",222
"929",206
"930",197
"931",219
"932",188
"933",198
"934",213
"935",190
"936",187
"937",231
"938",205
"939",179
"940",190
"941",179
"942",207
"943",210
"944",201
"945",199
"946",211
"947",223
"948",185
"949",188
"950",203
"951",190
"952",214
"953",187
"954",187
"955",191
"956",190
"957",192
"958",197
"959",211
"960",208
"961",219
"962",189
"963",188
"964",204
"965",219
"966",193
"967",202
"968",207
"969",205
"970",222
"971",192
"972",204
"973",221
"974",206
"975",220
"976",212
"977",202
"978",217
"979",221
"980",205
"981",178
"982",189
"983",200
"984",217
"985",199
"986",191
"987",195
"988",195
"989",195
"990",200
"991",178
"992",167
"993",202
"994",190
"995",210
"996",222
"997",205
"998",192
"999",216
"1000",202
"1001",222
"1002",202
"1003",200
"1004",194
"1005",192
"1006",213
"1007",188
"1008",206
"1009",217
"1010",217
"1011",215
"1012",209
"1013",204
"1014",193
"1015",183
"1016",209
"1017",201
"1018",205
"1019",192
"1020",190
"1021",187
"1022",200
"1023",183
"1024",224
"1025",188
"1026",204
"1027",213
"1028",202
"1029",180
"1030",213
"1031",174
"1032",196
"1033",192
"1034",177
"1035",218
"1036",186
"1037",190
"1038",212
"1039",201
"1040",206
"1041",199
"1042",180
"1043",216
"1044",175
"1045",201
"1046",207
"1047",197
"1048",199
"1049",180
"1050",190
"1051",190
"1052",187
"1053",204
"1054",212
"1055",190
"1056",219
"1057",202
"1058",222
"1059",198
"1060",198
"1061",203
"1062",193
"1063",216
"1064",177
"1065",208
"1066",206
"1067",189
"1068",167
"1069",196
"1070",214
"1071",223
"1072",220
"1073",217
"1074",193
"1075",203
"1076",213
"1077",209
"1078",230
"1079",216
"1080",207
"1081",192
"1082",211
"1083",195
"1084",203
"1085",205
"1086",188
"1087",198
"1088",176
"1089",176
"1090",225
"1091",192
"1092",224
"1093",193
"1094",206
"1095",207
"1096",200
"1097",203
"1098",187
"1099",204
"1100",208
"1101",190
"1102",209
"1103",175
"1104",219
"1105",193
"1106",201
"1107",184
"1108",198
"1109",203
"1110",207
"1111",201
"1112",179
"1113",210
"1114",175
"1115",230
"1116",225
"1117",189
"1118",215
"1119",218
"1120",188
"1121",201
"1122",196
"1123",224
"1124",181
"1125",190
"1126",214
"1127",204
"1128",208
"1129",189
"1130",208
"1131",180
"1132",171
"1133",198
"1134",211
"1135",227
"1136",180
"1137",210
"1138",189
"1139",208
"1140",185
"1141",201
"1142",191
"1143",230
"1144",195
"1145",191
"1146",201
"1147",190
"1148",210
"1149",187
"1150",187
"1151",189
"1152",184
"1153",196
"1154",212
"1155",196
"1156",217
"1157",217
"1158",205
"1159",189
"1160",213
"1161",197
"1162",191
"1163",193
"1164",189
"1165",203
"1166",207
"1167",201
"1168",178
"1169",171
"1170",197
"1171",193
"1172",191
"1173",195
"1174",188
"1175",206
"1176",199
"1177",178
"1178",200
"1179",184
"1180",187
"1181",201
"1182",202
"1183",201
"1184",199
"1185",197
"1186",194
"1187",190
"1188",224
"1189",225
"1190",214
"1191",191
"1192",184
"1193",199
"1194",212
"1195",193
"1196",198
"1197",192
"1198",225
"1199",213
"1200",191
"1201",191
"1202",183
"1203",181
"1204",207
"1205",182
"1206",194
"1207",213
"1208",197
"1209",205
"1210",202
"1211",200
"1212",201
"1213",218
"1214",213
"1215",196
"1216",207
"1217",225
"1218",189
"1219",191
"1220",204
"1221",197
"1222",201
"1223",200
"1224",186
"1225",208
"1226",212
"1227",219
"1228",194
"1229",219
"1230",201
"1231",187
"1232",183
"1233",193
"1234",240
"1235",197
"1236",208
"1237",186
"1238",220
"1239",215
"1240",212
"1241",177
"1242",200
"1243",210
"1244",183
"1245",202
"1246",215
"1247",221
"1248",213
"1249",188
"1250",192
"1251",199
"1252",187
"1253",211
"1254",202
"1255",184
"1256",212
"1257",200
"1258",213
"1259",218
"1260",211
"1261",207
"1262",196
"1263",195
"1264",202
"1265",230
"1266",186
"1267",182
"1268",223
"1269",214
"1270",184
"1271",193
"1272",208
"1273",212
"1274",202
"1275",211
"1276",194
"1277",204
"1278",177
"1279",206
"1280",188
"1281",183
"1282",178
"1283",217
"1284",190
"1285",198
"1286",217
"1287",187
"1288",184
"1289",189
"1290",194
"1291",199
"1292",195
"1293",215
"1294",231
"1295",206
"1296",209
"1297",211
"1298",222
"1299",191
"1300",191
"1301",178
"1302",202
"1303",181
"1304",215
"1305",200
"1306",218
"1307",184
"1308",174
"1309",210
"1310",210
"1311",207
"1312",202
"1313",197
"1314",191
"1315",188
"1316",209
"1317",211
"1318",218
"1319",189
"1320",190
"1321",192
"1322",214
"1323",188
"1324",169
"1325",219
"1326",200
"1327",218
"1328",201
"1329",198
"1330",180
"1331",220
"1332",204
"1333",185
"1334",197
"1335",204
"1336",206
"1337",210
"1338",202
"1339",197
"1340",196
"1341",188
"1342",211
"1343",204
"1344",200
"1345",216
"1346",229
"1347",206
"1348",206
"1349",184
"1350",216
"1351",191
"1352",202
"1353",188
"1354",186
"1355",203
"1356",204
"1357",227
"1358",192
"1359",204
"1360",219
"1361",163
"1362",186
"1363",210
"1364",192
"1365",222
"1366",196
"1367",185
"1368",195
"1369",188
"1370",196
"1371",200
"1372",193
"1373",183
"1374",168
"1375",204
"1376",203
"1377",207
"1378",175
"1379",206
"1380",200
"1381",187
"1382",201
"1383",192
"1384",219
"1385",209
"1386",187
"1387",200
"1388",199
"1389",177
"1390",226
"1391",206
"1392",208
"1393",180
"1394",176
"1395",214
"1396",210
"1397",198
"1398",174
"1399",196
"1400",191
"1401",208
"1402",214
"1403",191
"1404",226
"1405",196
"1406",181
"1407",205
"1408",224
"1409",226
"1410",213
"1411",198
"1412",235
"1413",217
"1414",177
"1415",204
"1416",204
"1417",210
"1418",189
"1419",205
"1420",190
"1421",216
"1422",183
"1423",217
"1424",181
"1425",186
"1426",203
"1427",198
"1428",214
"1429",192
"1430",189
"1431",198
"1432",169
"1433",201
"1434",194
"1435",188
"1436",223
"1437",196
"1438",217
"1439",214
"1440",211
"1441",213
"1442",166
"1443",206
"1444",198
"1445",205
"1446",239
"1447",200
"1448",185
"1449",181
"1450",155
"1451",202
"1452",182
"1453",206
"1454",199
"1455",201
"1456",227
"1457",223
"1458",181
"1459",186
"1460",229
"1461",207
"1462",180
"1463",220
"1464",179
"1465",202
"1466",170
"1467",191
"1468",193
"1469",187
"1470",191
"1471",203
"1472",201
"1473",202
"1474",207
"1475",190
"1476",203
"1477",201
"1478",190
"1479",213
"1480",190
"1481",233
"1482",199
"1483",179
"1484",207
"1485",188
"1486",231
"1487",189
"1488",202
"1489",192
"1490",192
"1491",191
"1492",172
"1493",196
"1494",203
"1495",181
"1496",214
"1497",230
"1498",181
"1499",174
"1500",194
"1501",213
"1502",194
"1503",193
"1504",189
"1505",210
"1506",208
"1507",196
"1508",206
"1509",200
"1510",202
"1511",189
"1512",206
"1513",200
"1514",216
"1515",190
"1516",229
"1517",205
"1518",201
"1519",187
"1520",177
"1521",199
"1522",188
"1523",176
"1524",196
"1525",186
"1526",177
"1527",203
"1528",224
"1529",206
"1530",192
"1531",188
"1532",192
"1533",191
"1534",204
"1535",197
"1536",224
"1537",216
"1538",196
"1539",226
"1540",206
"1541",205
"1542",207
"1543",204
"1544",206
"1545",196
"1546",207
"1547",210
"1548",193
"1549",216
"1550",193
"1551",199
"1552",173
"1553",198
"1554",193
"1555",206
"1556",204
"1557",177
"1558",163
"1559",179
"1560",172
"1561",188
"1562",196
"1563",241
"1564",202
"1565",188
"1566",212
"1567",219
"1568",195
"1569",197
"1570",213
"1571",221
"1572",196
"1573",195
"1574",185
"1575",198
"1576",185
"1577",193
"1578",190
"1579",218
"1580",211
"1581",211
"1582",197
"1583",185
"1584",202
"1585",189
"1586",207
"1587",219
"1588",185
"1589",192
"1590",202
"1591",187
"1592",211
"1593",202
"1594",168
"1595",192
"1596",217
"1597",198
"1598",176
"1599",204
"1600",202
"1601",194
"1602",194
"1603",191
"1604",210
"1605",194
"1606",203
"1607",214
"1608",184
"1609",191
"1610",194
"1611",206
"1612",198
"1613",188
"1614",185
"1615",184
"1616",198
"1617",208
"1618",218
"1619",186
"1620",221
"1621",200
"1622",216
"1623",182
"1624",197
"1625",188
"1626",211
"1627",163
"1628",196
"1629",191
"1630",199
"1631",188
"1632",203
"1633",205
"1634",205
"1635",191
"1636",194
"1637",183
"1638",202
"1639",187
"1640",196
"1641",217
"1642",187
"1643",188
"1644",208
"1645",183
"1646",201
"1647",199
"1648",168
"1649",194
"1650",209
"1651",186
"1652",190
"1653",198
"1654",184
"1655",206
"1656",203
"1657",220
"1658",212
"1659",195
"1660",205
"1661",210
"1662",179
"1663",209
"1664",215
"1665",208
"1666",216
"1667",205
"1668",214
"1669",185
"1670",197
"1671",200
"1672",183
"1673",178
"1674",178
"1675",192
"1676",210
"1677",219
"1678",196
"1679",193
"1680",210
"1681",215
"1682",190
"1683",179
"1684",222
"1685",191
"1686",183
"1687",193
"1688",235
"1689",191
"1690",201
"1691",213
"1692",196
"1693",212
"1694",210
"1695",209
"1696",183
"1697",215
"1698",196
"1699",223
"1700",230
"1701",215
"1702",203
"1703",230
"1704",210
"1705",218
"1706",206
"1707",206
"1708",205
"1709",209
"1710",215
"1711",190
"1712",214
"1713",203
"1714",242
"1715",216
"1716",193
"1717",224
"1718",207
"1719",212
"1720",217
"1721",200
"1722",188
"1723",229
"1724",217
"1725",191
"1726",196
"1727",205
"1728",219
"1729",203
"1730",219
"1731",180
"1732",175
"1733",215
"1734",222
"1735",197
"1736",195
"1737",203
"1738",192
"1739",218
"1740",206
"1741",217
"1742",216
"1743",188
"1744",216
"1745",207
"1746",194
"1747",181
"1748",213
"1749",197
"1750",222
"1751",204
"1752",180
"1753",197
"1754",212
"1755",202
"1756",199
"1757",170
"1758",200
"1759",214
"1760",203
"1761",208
"1762",190
"1763",182
"1764",203
"1765",218
"1766",193
"1767",199
"1768",216
"1769",180
"1770",206
"1771",194
"1772",201
"1773",194
"1774",189
"1775",185
"1776",177
"1777",182
"1778",199
"1779",196
"1780",183
"1781",216
"1782",181
"1783",199
"1784",178
"1785",218
"1786",188
"1787",188
"1788",205
"1789",209
"1790",205
"1791",190
"1792",219
"1793",198
"1794",233
"1795",202
"1796",206
"1797",177
"1798",196
"1799",189
"1800",224
"1801",199
"1802",228
"1803",205
"1804",198
"1805",192
"1806",202
"1807",188
"1808",208
"1809",201
"1810",191
"1811",207
"1812",190
"1813",199
"1814",211
"1815",216
"1816",205
"1817",202
"1818",192
"1819",197
"1820",206
"1821",214
"1822",211
"1823",221
"1824",187
"1825",195
"1826",223
"1827",211
"1828",205
"1829",201
"1830",208
"1831",201
"1832",197
"1833",203
"1834",187
"1835",185
"1836",182
"1837",212
"1838",204
"1839",226
"1840",199
"1841",210
"1842",202
"1843",171
"1844",189
"1845",177
"1846",167
"1847",191
"1848",200
"1849",200
"1850",222
"1851",192
"1852",178
"1853",208
"1854",199
"1855",201
"1856",195
"1857",191
"1858",204
"1859",204
"1860",175
"1861",214
"1862",178
"1863",201
"1864",217
"1865",203
"1866",214
"1867",192
"1868",221
"1869",189
"1870",215
"1871",201
"1872",187
"1873",201
"1874",210
"1875",210
"1876",192
"1877",189
"1878",191
"1879",175
"1880",182
"1881",200
"1882",174
"1883",225
"1884",191
"1885",216
"1886",213
"1887",194
"1888",207
"1889",173
"1890",222
"1891",202
"1892",196
"1893",218
"1894",213
"1895",190
"1896",210
"1897",196
"1898",210
"1899",190
"1900",203
"1901",197
"1902",221
"1903",190
"1904",195
"1905",217
"1906",200
"1907",225
"1908",199
"1909",199
"1910",206
"1911",198
"1912",200
"1913",178
"1914",179
"1915",172
"1916",208
"1917",205
"1918",202
"1919",206
"1920",166
"1921",198
"1922",199
"1923",207
"1924",188
"1925",220
"1926",211
"1927",195
"1928",193
"1929",215
"1930",191
"1931",201
"1932",186
"1933",181
"1934",199
"1935",217
"1936",185
"1937",200
"1938",186
"1939",201
"1940",197
"1941",207
"1942",208
"1943",209
"1944",216
"1945",197
"1946",204
"1947",197
"1948",177
"1949",199
"1950",203
"1951",217
"1952",215
"1953",205
"1954",198
"1955",204
"1956",201
"1957",210
"1958",192
"1959",233
"1960",199
"1961",173
"1962",206
"1963",191
"1964",185
"1965",201
"1966",193
"1967",183
"1968",191
"1969",216
"1970",205
"1971",187
"1972",170
"1973",206
"1974",205
"1975",217
"1976",187
"1977",202
"1978",199
"1979",203
"1980",198
"1981",203
"1982",194
"1983",207
"1984",194
"1985",187
"1986",196
"1987",218
"1988",194
"1989",181
"1990",200
"1991",168
"1992",220
"1993",174
"1994",192
"1995",182
"1996",177
"1997",188
"1998",223
"1999",173
"2000",195
"2001",198
"2002",171
"2003",195
"2004",189
"2005",201
"2006",193
"2007",196
"2008",237
"2009",204
"2010",168
"2011",198
"2012",229
"2013",212
"2014",192
"2015",194
"2016",196
"2017",202
"2018",195
"2019",205
"2020",210
"2021",190
"2022",183
"2023",191
"2024",197
"2025",204
"2026",187
"2027",207
"2028",202
"2029",204
"2030",178
"2031",198
"2032",214
"2033",191
"2034",210
"2035",235
"2036",181
"2037",193
"2038",204
"2039",191
"2040",203
"2041",213
"2042",229
"2043",204
"2044",210
"2045",198
"2046",218
"2047",199
"2048",201
"2049",199
"2050",209
"2051",176
"2052",206
"2053",219
"2054",201
"2055",195
"2056",194
"2057",215
"2058",172
"2059",198
"2060",197
"2061",191
"2062",208
"2063",202
"2064",187
"2065",195
"2066",178
"2067",206
"2068",190
"2069",207
"2070",206
"2071",207
"2072",220
"2073",193
"2074",186
"2075",206
"2076",208
"2077",198
"2078",219
"2079",239
"2080",190
"2081",207
"2082",214
"2083",208
"2084",226
"2085",196
"2086",205
"2087",201
"2088",205
"2089",185
"2090",203
"2091",190
"2092",205
"2093",194
"2094",183
"2095",188
"2096",226
"2097",196
"2098",198
"2099",187
"2100",228
"2101",206
"2102",197
"2103",207
"2104",178
"2105",182
"2106",186
"2107",200
"2108",213
"2109",226
"2110",187
"2111",193
"2112",188
"2113",220
"2114",196
"2115",204
"2116",192
"2117",198
"2118",219
"2119",225
"2120",208
"2121",224
"2122",222
"2123",212
"2124",180
"2125",191
"2126",204
"2127",212
"2128",168
"2129",174
"2130",201
"2131",201
"2132",196
"2133",208
"2134",215
"2135",200
"2136",218
"2137",213
"2138",185
"2139",208
"2140",198
"2141",199
"2142",192
"2143",220
"2144",207
"2145",181
"2146",234
"2147",196
"2148",192
"2149",185
"2150",223
"2151",183
"2152",192
"2153",192
"2154",210
"2155",174
"2156",213
"2157",204
"2158",217
"2159",193
"2160",187
"2161",215
"2162",207
"2163",221
"2164",209
"2165",198
"2166",197
"2167",201
"2168",214
"2169",213
"2170",236
"2171",207
"2172",204
"2173",195
"2174",169
"2175",185
"2176",212
"2177",201
"2178",207
"2179",176
"2180",198
"2181",191
"2182",205
"2183",199
"2184",198
"2185",205
"2186",188
"2187",213
"2188",175
"2189",203
"2190",202
"2191",206
"2192",196
"2193",213
"2194",185
"2195",198
"2196",212
"2197",194
"2198",221
"2199",196
"2200",188
"2201",199
"2202",189
"2203",208
"2204",189
"2205",210
"2206",209
"2207",180
"2208",174
"2209",203
"2210",215
"2211",199
"2212",206
"2213",220
"2214",201
"2215",187
"2216",187
"2217",181
"2218",221
"2219",197
"2220",187
"2221",196
"2222",199
"2223",249
"2224",203
"2225",173
"2226",192
"2227",228
"2228",189
"2229",198
"2230",177
"2231",197
"2232",196
"2233",214
"2234",178
"2235",200
"2236",208
"2237",194
"2238",212
"2239",203
"2240",205
"2241",167
"2242",189
"2243",176
"2244",202
"2245",198
"2246",221
"2247",205
"2248",211
"2249",224
"2250",200
"2251",200
"2252",181
"2253",176
"2254",219
"2255",199
"2256",220
"2257",198
"2258",224
"2259",216
"2260",204
"2261",204
"2262",195
"2263",211
"2264",178
"2265",181
"2266",218
"2267",172
"2268",214
"2269",206
"2270",200
"2271",202
"2272",198
"2273",203
"2274",201
"2275",195
"2276",212
"2277",216
"2278",207
"2279",196
"2280",190
"2281",199
"2282",190
"2283",206
"2284",184
"2285",186
"2286",176
"2287",185
"2288",211
"2289",223
"2290",190
"2291",200
"2292",204
"2293",185
"2294",216
"2295",215
"2296",181
"2297",202
"2298",205
"2299",182
"2300",169
"2301",204
"2302",207
"2303",188
"2304",177
"2305",208
"2306",202
"2307",202
"2308",193
"2309",213
"2310",198
"2311",235
"2312",201
"2313",218
"2314",187
"2315",211
"2316",201
"2317",201
"2318",204
"2319",208
"2320",218
"2321",194
"2322",202
"2323",201
"2324",197
"2325",213
"2326",185
"2327",196
"2328",224
"2329",214
"2330",206
"2331",189
"2332",203
"2333",204
"2334",195
"2335",188
"2336",202
"2337",188
"2338",190
"2339",227
"2340",229
"2341",179
"2342",208
"2343",201
"2344",214
"2345",185
"2346",169
"2347",196
"2348",194
"2349",199
"2350",198
"2351",235
"2352",184
"2353",201
"2354",183
"2355",207
"2356",202
"2357",223
"2358",182
"2359",215
"2360",224
"2361",223
"2362",186
"2363",173
"2364",182
"2365",190
"2366",196
"2367",198
"2368",201
"2369",217
"2370",180
"2371",205
"2372",189
"2373",195
"2374",212
"2375",196
"2376",177
"2377",215
"2378",211
"2379",206
"2380",225
"2381",203
"2382",207
"2383",189
"2384",197
"2385",191
"2386",182
"2387",211
"2388",202
"2389",218
"2390",209
"2391",174
"2392",196
"2393",181
"2394",212
"2395",181
"2396",228
"2397",190
"2398",211
"2399",199
"2400",198
"2401",183
"2402",199
"2403",211
"2404",190
"2405",189
"2406",205
"2407",215
"2408",204
"2409",174
"2410",190
"2411",203
"2412",227
"2413",206
"2414",185
"2415",206
"2416",217
"2417",174
"2418",198
"2419",200
"2420",205
"2421",187
"2422",193
"2423",200
"2424",200
"2425",203
"2426",183
"2427",195
"2428",207
"2429",226
"2430",201
"2431",201
"2432",205
"2433",183
"2434",208
"2435",206
"2436",202
"2437",199
"2438",205
"2439",166
"2440",193
"2441",227
"2442",216
"2443",183
"2444",213
"2445",201
"2446",191
"2447",232
"2448",203
"2449",198
"2450",236
"2451",186
"2452",180
"2453",182
"2454",188
"2455",210
"2456",203
"2457",193
"2458",199
"2459",207
"2460",193
"2461",209
"2462",202
"2463",220
"2464",178
"2465",187
"2466",216
"2467",192
"2468",198
"2469",185
"2470",202
"2471",211
"2472",194
"2473",216
"2474",235
"2475",185
"2476",204
"2477",180
"2478",203
"2479",212
"2480",193
"2481",216
"2482",214
"2483",200
"2484",198
"2485",185
"2486",163
"2487",234
"2488",176
"2489",230
"2490",207
"2491",179
"2492",204
"2493",201
"2494",209
"2495",196
"2496",201
"2497",193
